iter	Passed	Remaining
1452	35543	209075
1453	35594	209211
1454	35628	209240
1455	35649	209198
1456	35670	209153
1457	35691	209106
1458	35711	209056
1459	35737	209042
1460	35765	209036
1461	35791	209022
1462	35814	208989
1463	35836	208950
1464	35858	208909
1465	35878	208861
1466	35902	208834
1467	35926	208803
1468	35946	208756
1469	35965	208697
1470	35984	208643
1471	36009	208619
1472	36032	208590
1473	36056	208562
1474	36090	208589
1475	36120	208599
1476	36141	208554
1477	36161	208505
1478	36182	208461
1479	36204	208420
1480	36233	208419
1481	36252	208368
1482	36275	208334
1483	36299	208306
1484	36320	208263
1485	36342	208220
1486	36362	208170
1487	36381	208118
1488	36401	208068
1489	36423	208029
1490	36445	207990
1491	36465	207940
1492	36483	207882
1493	36499	207806
1494	36515	207738
1495	36539	207709
1496	36557	207647
1497	36577	207597
1498	36595	207537
1499	36633	207592
1500	36684	207713
1501	36705	207671
1502	36737	207692
1503	36769	207707
1504	36797	207703
1505	36822	207681
1506	36845	207649
1507	36865	207602
1508	36887	207565
1509	36915	207555
1510	36951	207600
1511	36982	207613
1512	37003	207569
1513	37028	207545
1514	37049	207500
1515	37080	207512
1516	37108	207509
1517	37140	207526
1518	37171	207541
1519	37217	207635
1520	37258	207702
1521	37295	207748
1522	37331	207784
1523	37368	207830
1524	37403	207863
1525	37432	207865
1526	37462	207872
1527	37492	207878
1528	37535	207955
1529	37550	207877
1530	37565	207800
1531	37586	207756
1532	37612	207741
1533	37635	207705
1534	37653	207648
1535	37694	207711
1536	37743	207821
1537	37769	207806
1538	37794	207784
1539	37813	207728
1540	37835	207692
1541	37856	207645
1542	37876	207595
1543	37898	207556
1544	37919	207513
1545	37938	207459
1546	37967	207461
1547	37992	207437
1548	38014	207399
1549	38035	207353
1550	38059	207327
1551	38086	207314
1552	38111	207296
1553	38132	207247
1554	38155	207217
1555	38176	207171
1556	38218	207245
1557	38244	207226
1558	38267	207192
1559	38295	207187
1560	38320	207164
1561	38341	207120
1562	38359	207060
1563	38379	207012
1564	38399	206964
1565	38422	206931
1566	38443	206889
1567	38465	206849
1568	38494	206848
1569	38514	206800
1570	38532	206742
1571	38561	206742
1572	38583	206703
1573	38599	206630
1574	38626	206620
1575	38649	206589
1576	38668	206535
1577	38689	206493
1578	38711	206452
1579	38773	206626
1580	38799	206613
1581	38829	206617
1582	38850	206573
1583	38873	206539
1584	38893	206489
1585	38909	206423
1586	38931	206382
1587	38952	206339
1588	38974	206304
1589	38996	206263
1590	39015	206209
1591	39034	206156
1592	39056	206116
1593	39076	206070
1594	39096	206023
1595	39114	205964
1596	39139	205943
1597	39159	205891
1598	39179	205843
1599	39202	205814
1600	39234	205827
1601	39272	205875
1602	39300	205867
1603	39324	205841
1604	39344	205793
1605	39365	205749
1606	39386	205708
1607	39406	205660
1608	39426	205612
1609	39448	205574
1610	39469	205532
1611	39489	205483
1612	39509	205435
1613	39533	205405
1614	39553	205359
1615	39570	205296
1616	39590	205247
1617	39610	205200
1618	39636	205186
1619	39653	205121
1620	39670	205060
1621	39685	204987
1622	39713	204978
1623	39739	204963
1624	39761	204926
1625	39805	204999
1626	41136	211702
1627	41158	211657
1628	41177	211601
1629	41197	211547
1630	41217	211496
1631	41237	211441
1632	41255	211381
1633	41278	211345
1634	41304	211321
1635	41327	211287
1636	41352	211258
1637	41372	211207
1638	41392	211155
1639	41412	211104
1640	41432	211052
1641	41450	210989
1642	41470	210934
1643	41491	210891
1644	41511	210839
1645	41534	210799
1646	41562	210789
1647	41589	210773
1648	41616	210755
1649	41645	210750
1650	41667	210710
1651	41689	210670
1652	41720	210673
1653	41748	210662
1654	41772	210629
1655	41788	210555
1656	41802	210477
1657	41823	210429
1658	41845	210389
1659	41865	210334
1660	41885	210283
1661	41907	210243
